CMDLINE C:\Users\Adriaan\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe word_filter.py
MEM 279.777344 1688407724.4308
MEM 279.777344 1688407724.5315
MEM 279.777344 1688407724.6320
MEM 279.777344 1688407724.7326
MEM 279.777344 1688407724.8333
MEM 279.777344 1688407724.9339
MEM 279.777344 1688407725.0346
MEM 279.777344 1688407725.1353
MEM 279.511719 1688407725.2359
MEM 279.511719 1688407725.3365
MEM 279.511719 1688407725.4370
MEM 279.511719 1688407725.5374
MEM 279.511719 1688407725.6381
MEM 279.511719 1688407725.7384
MEM 279.511719 1688407725.8390
MEM 279.511719 1688407725.9395
MEM 279.511719 1688407726.0401
MEM 279.511719 1688407726.1407
MEM 279.511719 1688407726.2413
MEM 279.511719 1688407726.3418
MEM 279.511719 1688407726.4423
MEM 279.511719 1688407726.5429
MEM 279.511719 1688407726.6435
MEM 279.511719 1688407726.7441
MEM 279.511719 1688407726.8446
MEM 279.511719 1688407726.9452
MEM 279.511719 1688407727.0458
MEM 279.511719 1688407727.1465
MEM 279.511719 1688407727.2472
MEM 279.511719 1688407727.3478
MEM 279.511719 1688407727.4484
MEM 279.511719 1688407727.5490
MEM 279.511719 1688407727.6494
MEM 279.511719 1688407727.7501
MEM 279.511719 1688407727.8506
MEM 279.511719 1688407727.9514
MEM 279.511719 1688407728.0520
MEM 279.511719 1688407728.1524
MEM 279.511719 1688407728.2531
MEM 279.511719 1688407728.3536
MEM 279.511719 1688407728.4543
MEM 279.511719 1688407728.5548
MEM 279.750000 1688407728.6554
MEM 279.750000 1688407728.7560
MEM 279.750000 1688407728.8566
MEM 279.750000 1688407728.9572
MEM 279.750000 1688407729.0578
MEM 279.750000 1688407729.1585
MEM 279.753906 1688407729.2591
MEM 279.753906 1688407729.3599
MEM 279.753906 1688407729.4605
MEM 279.753906 1688407729.5611
MEM 279.515625 1688407729.6616
MEM 279.515625 1688407729.7622
MEM 279.515625 1688407729.8628
MEM 279.519531 1688407729.9632
MEM 279.519531 1688407730.0635
MEM 279.519531 1688407730.1642
MEM 279.519531 1688407730.2648
MEM 279.519531 1688407730.3654
MEM 279.519531 1688407730.4660
MEM 279.519531 1688407730.5666
MEM 279.523438 1688407730.6672
MEM 279.523438 1688407730.7679
MEM 279.523438 1688407730.8685
MEM 279.523438 1688407730.9692
MEM 279.523438 1688407731.0696
MEM 279.523438 1688407731.1701
MEM 279.523438 1688407731.2708
MEM 279.523438 1688407731.3715
MEM 279.527344 1688407731.4720
MEM 279.527344 1688407731.5726
MEM 279.527344 1688407731.6733
MEM 279.527344 1688407731.7738
